Learner - ID,Learner - Name,Learner - Type,Learning activity - ID,Learning activity - Title,Learning activity - Duration,Delivery Type,Learning Source Name,State,Age At Registration,User Registration Date,Completion Date,Learning Last Accessed Date,Source,Transcript status,Transcript Type,Learning Activity Status,Referrer Source,College,Percent complete,Learner Enrollment Date
900000,Demo Learner 01,Student,ACT6737,Course T,120,eLearning,IBM Learning Patterns,Karnataka - IN,Not Available,17-01-2026,2026-01-27T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 15,100,17-01-2026
900001,Demo Learner 02,Not Available,ACT8301,Course J,120,Guidance,IBM Learning Patterns,Madhya Pradesh - IN,18-25,21-03-2026,2026-03-23T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 12,100,21-03-2026
900001,Demo Learner 02,Not Available,ACT6823,Course F,240,Guidance,IBM Learning Patterns,Madhya Pradesh - IN,18-25,21-03-2026,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 2,100,21-03-2026
900001,Demo Learner 02,Not Available,ACT3119,Course H,120,Guidance,IBM Learning Patterns,Madhya Pradesh - IN,18-25,21-03-2026,2026-03-22T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 16,100,21-03-2026
900002,Demo Learner 03,Student,ACT7233,Course H,30,eLearning,Adobe Learning Manager,Andhra Pradesh - IN,Not Available,23-02-2026,2026-02-24T00:00:00Z,2026-02-24T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 5,100,23-02-2026
900002,Demo Learner 03,Student,ACT4822,Course A,120,eLearning,Adobe Learning Manager,Andhra Pradesh - IN,Not Available,23-02-2026,2026-02-25T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 6,100,23-02-2026
900002,Demo Learner 03,Student,ACT1067,Course E,120,eLearning,Adobe Learning Manager,Andhra Pradesh - IN,Not Available,23-02-2026,2026-02-24T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 20,0,23-02-2026
900003,Demo Learner 04,Student,ACT7428,Course M,120,eLearning,Your Learning Builder - Plans,Haryana - IN,Not Available,28-03-2026,2026-03-30T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 16,50,28-03-2026
900003,Demo Learner 04,Student,ACT4122,Course C,30,eLearning,Your Learning Builder - Plans,Haryana - IN,Not Available,28-03-2026,2026-03-28T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 4,100,28-03-2026
900003,Demo Learner 04,Student,ACT1861,Course D,10,eLearning,Your Learning Builder - Plans,Haryana - IN,Not Available,28-03-2026,2026-03-30T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 18,100,28-03-2026
900003,Demo Learner 04,Student,ACT1417,Course C,30,eLearning,Your Learning Builder - Plans,Haryana - IN,Not Available,28-03-2026,2026-03-29T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 5,100,28-03-2026
900004,Demo Learner 05,Not Available,ACT2407,Course E,10,Learning Plan,IBM Learning Patterns,Karnataka - IN,Not Available,16-02-2026,2026-02-17T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 9,50,16-02-2026
900004,Demo Learner 05,Not Available,ACT3645,Course Q,10,Learning Plan,IBM Learning Patterns,Karnataka - IN,Not Available,16-02-2026,2026-02-18T00:00:00Z,2026-02-18T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 17,100,16-02-2026
900004,Demo Learner 05,Not Available,ACT9899,Course A,240,Learning Plan,IBM Learning Patterns,Karnataka - IN,Not Available,16-02-2026,2026-02-16T00:00:00Z,2026-02-16T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 3,100,16-02-2026
900004,Demo Learner 05,Not Available,ACT7008,Course F,60,Learning Plan,IBM Learning Patterns,Karnataka - IN,Not Available,16-02-2026,2026-02-18T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 18,0,16-02-2026
900005,Demo Learner 06,Not Available,ACT4714,Course G,240,eLearning,Adobe Learning Manager,Not Available,Not Available,26-01-2026,2026-01-27T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 1,100,26-01-2026
900005,Demo Learner 06,Not Available,ACT8737,Course I,30,eLearning,Adobe Learning Manager,Not Available,Not Available,26-01-2026,2026-01-27T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 12,50,26-01-2026
900006,Demo Learner 07,Not Available,ACT8907,Course T,240,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-13T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 16,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT2389,Course D,120,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-03-04T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 7,50,07-02-2026
900006,Demo Learner 07,Not Available,ACT8109,Course K,10,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-12T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 13,50,07-02-2026
900006,Demo Learner 07,Not Available,ACT2391,Course F,30,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-19T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 1,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT8624,Course E,240,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-25T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 16,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT9989,Course R,30,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-11T00:00:00Z,2026-02-11T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 4,0,07-02-2026
900006,Demo Learner 07,Not Available,ACT3281,Course N,30,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-03-02T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 7,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT4486,Course J,240,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-15T00:00:00Z,2026-02-15T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 19,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT9918,Course N,30,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-15T00:00:00Z,2026-02-15T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 12,50,07-02-2026
900006,Demo Learner 07,Not Available,ACT9466,Course N,240,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-28T00:00:00Z,2026-02-28T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 5,0,07-02-2026
900006,Demo Learner 07,Not Available,ACT1306,Course O,30,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-23T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 5,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT8757,Course T,10,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-11T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 11,0,07-02-2026
900006,Demo Learner 07,Not Available,ACT8905,Course D,240,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-23T00:00:00Z,2026-02-23T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 7,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT2601,Course Q,120,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-08T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 3,50,07-02-2026
900006,Demo Learner 07,Not Available,ACT9282,Course T,240,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-17T00:00:00Z,2026-02-17T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 9,50,07-02-2026
900006,Demo Learner 07,Not Available,ACT9737,Course P,240,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-23T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 17,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT4319,Course O,30,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-24T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 13,50,07-02-2026
900006,Demo Learner 07,Not Available,ACT2188,Course H,120,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-17T00:00:00Z,2026-02-17T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 10,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT3530,Course L,30,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-03-03T00:00:00Z,2026-03-03T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 5,50,07-02-2026
900006,Demo Learner 07,Not Available,ACT2542,Course M,120,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-14T00:00:00Z,2026-02-14T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 8,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT8070,Course Q,120,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-03-01T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 7,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT2510,Course L,10,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-17T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 15,50,07-02-2026
900006,Demo Learner 07,Not Available,ACT1296,Course M,60,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-03-01T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 10,0,07-02-2026
900006,Demo Learner 07,Not Available,ACT2848,Course H,10,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 9,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT3974,Course I,30,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-03-03T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 9,50,07-02-2026
900006,Demo Learner 07,Not Available,ACT9791,Course Q,240,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-11T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 11,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT1942,Course F,120,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-15T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 9,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT2451,Course I,10,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-27T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 8,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT2993,Course O,10,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-15T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 18,50,07-02-2026
900006,Demo Learner 07,Not Available,ACT3117,Course B,240,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-15T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 4,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT1825,Course F,30,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-15T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 10,0,07-02-2026
900006,Demo Learner 07,Not Available,ACT4372,Course J,120,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-03-03T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 6,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT1297,Course I,10,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-18T00:00:00Z,2026-02-18T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 17,0,07-02-2026
900006,Demo Learner 07,Not Available,ACT9425,Course P,30,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-13T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 4,50,07-02-2026
900006,Demo Learner 07,Not Available,ACT9110,Course R,120,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-28T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 10,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT6614,Course G,30,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-14T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 12,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT1233,Course C,60,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-11T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 2,100,07-02-2026
900006,Demo Learner 07,Not Available,ACT7240,Course Q,60,Learning Plan,Adobe Learning Manager,Delhi - IN,18-25,07-02-2026,2026-02-28T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 10,100,07-02-2026
900007,Demo Learner 08,Job Seeker,ACT4569,Course L,30,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-17T00:00:00Z,2026-01-17T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 13,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT5569,Course Q,30,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-23T00:00:00Z,2026-01-23T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 1,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT2470,Course E,120,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-16T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 13,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT5984,Course H,10,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-17T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 17,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT7381,Course K,120,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-29T00:00:00Z,2026-01-29T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 20,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT9404,Course N,240,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-09T00:00:00Z,2026-01-09T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 17,0,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT1263,Course S,30,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-26T00:00:00Z,2026-01-26T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 2,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT6909,Course D,120,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-28T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 18,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT1308,Course R,30,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-28T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 1,50,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT2148,Course Q,240,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-02-02T00:00:00Z,2026-02-02T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 17,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT8763,Course I,10,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-31T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 8,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT8542,Course P,120,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-15T00:00:00Z,2026-01-15T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 10,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT4248,Course C,240,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-27T00:00:00Z,2026-01-27T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 9,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT3186,Course A,120,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-27T00:00:00Z,2026-01-27T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 9,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT4566,Course P,60,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-30T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 10,50,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT8640,Course D,240,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-22T00:00:00Z,2026-01-22T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 3,50,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT5744,Course O,10,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-08T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 15,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT4437,Course G,10,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-20T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 5,0,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT6890,Course E,240,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-16T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 17,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT6983,Course H,120,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-11T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 16,50,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT3606,Course A,120,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-08T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 13,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT3305,Course N,60,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-31T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 4,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT6317,Course K,120,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-08T00:00:00Z,2026-01-08T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 7,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT5748,Course I,60,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-31T00:00:00Z,2026-01-31T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 13,0,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT6909,Course N,60,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-10T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 9,100,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT5679,Course E,30,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-09T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 14,0,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT4110,Course L,120,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-18T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 13,0,08-01-2026
900007,Demo Learner 08,Job Seeker,ACT4333,Course C,10,eLearning,IBM Learning Patterns,Delhi - IN,26-40,08-01-2026,2026-01-25T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 14,50,08-01-2026
900008,Demo Learner 09,Job Seeker,ACT6630,Course J,60,eLearning,Your Learning Builder - Plans,Kerala - IN,18-25,06-02-2026,2026-02-07T00:00:00Z,2026-02-07T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 9,50,06-02-2026
900008,Demo Learner 09,Job Seeker,ACT4910,Course J,120,eLearning,Your Learning Builder - Plans,Kerala - IN,18-25,06-02-2026,2026-02-08T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 13,100,06-02-2026
900009,Demo Learner 10,Student,ACT3287,Course R,30,eLearning,Adobe Learning Manager,Not Available,Not Available,25-02-2026,2026-03-10T00:00:00Z,2026-03-10T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 6,100,25-02-2026
900009,Demo Learner 10,Student,ACT2492,Course K,30,eLearning,Adobe Learning Manager,Not Available,Not Available,25-02-2026,2026-03-14T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 19,100,25-02-2026
900009,Demo Learner 10,Student,ACT7763,Course M,120,eLearning,Adobe Learning Manager,Not Available,Not Available,25-02-2026,2026-02-25T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 7,50,25-02-2026
900009,Demo Learner 10,Student,ACT6541,Course B,120,eLearning,Adobe Learning Manager,Not Available,Not Available,25-02-2026,2026-03-05T00:00:00Z,2026-03-05T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 12,100,25-02-2026
900009,Demo Learner 10,Student,ACT9247,Course Q,30,eLearning,Adobe Learning Manager,Not Available,Not Available,25-02-2026,2026-03-18T00:00:00Z,2026-03-18T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 8,50,25-02-2026
900009,Demo Learner 10,Student,ACT8304,Course N,60,eLearning,Adobe Learning Manager,Not Available,Not Available,25-02-2026,2026-03-09T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 1,100,25-02-2026
900009,Demo Learner 10,Student,ACT7966,Course P,240,eLearning,Adobe Learning Manager,Not Available,Not Available,25-02-2026,2026-02-26T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 3,50,25-02-2026
900009,Demo Learner 10,Student,ACT8670,Course O,30,eLearning,Adobe Learning Manager,Not Available,Not Available,25-02-2026,2026-03-13T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 8,100,25-02-2026
900009,Demo Learner 10,Student,ACT9558,Course D,120,eLearning,Adobe Learning Manager,Not Available,Not Available,25-02-2026,2026-03-01T00:00:00Z,2026-03-01T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 2,100,25-02-2026
900009,Demo Learner 10,Student,ACT3058,Course H,240,eLearning,Adobe Learning Manager,Not Available,Not Available,25-02-2026,2026-03-22T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 10,100,25-02-2026
900009,Demo Learner 10,Student,ACT5125,Course Q,120,eLearning,Adobe Learning Manager,Not Available,Not Available,25-02-2026,2026-03-17T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 4,100,25-02-2026
